"Class","Accuracy","Precision","Recall"
"Tomato___Target_Spot","0.8181818","0.7826087","0.8181818"
"Tomato___Leaf_Mold","0.85365856","0.85365856","0.85365856"
"Strawberry___Leaf_scorch","0.9807692","0.9444444","0.9807692"
"Apple___Black_rot","0.962963","0.94545454","0.962963"
"Strawberry___healthy","0.9032258","1.0","0.9032258"
"Corn_(maize)___Common_rust_","0.92537314","0.984127","0.92537314"
"Potato___Early_blight","0.9714286","1.0","0.9714286"
"Apple___healthy","0.90789473","0.8961039","0.90789473"
"Potato___healthy","0.9270833","0.9569892","0.9270833"
"Tomato___Early_blight","0.8817204","0.87234044","0.8817204"
"Blueberry___healthy","0.991453","0.90625","0.991453"
"Pepper,_bell___Bacterial_spot","0.9489051","0.90909094","0.9489051"
"Grape___Esca_(Black_Measles)","0.93421054","0.9594595","0.93421054"
"Peach___healthy","0.9632353","0.8791946","0.9632353"
"Cherry_(including_sour)___Powdery_mildew","0.98630136","0.96","0.98630136"
"Grape___Black_rot","0.82191783","0.8","0.82191783"
"Tomato___Bacterial_spot","0.9366197","0.88666666","0.9366197"
"Grape___Leaf_blight_(Isariopsis_Leaf_Spot)","0.9802632","0.943038","0.9802632"
"Potato___Late_blight","0.9875776","0.9875776","0.9875776"
"Peach___Bacterial_spot","0.97633135","0.9939759","0.97633135"
"Orange___Haunglongbing_(Citrus_greening)","0.9886364","1.0","0.9886364"
"Tomato___Tomato_mosaic_virus","0.92391306","0.96045196","0.92391306"
"Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot","0.994382","0.9888268","0.994382"
"Tomato___Tomato_Yellow_Leaf_Curl_Virus","0.9849246","0.9423077","0.9849246"
"Grape___healthy","0.90140843","0.9099526","0.90140843"
"Corn_(maize)___healthy","0.9037657","0.972973","0.9037657"
"Apple___Cedar_apple_rust","0.97321427","0.9688889","0.97321427"
"Soybean___healthy","0.99148935","0.9748954","0.99148935"
"Tomato___Late_blight","0.94715446","0.94331986","0.94715446"
"Tomato___healthy","0.94779116","0.9402391","0.94779116"
"Cherry_(including_sour)___healthy","0.9307692","0.9097744","0.9307692"
"Apple___Apple_scab","0.989011","0.9818182","0.989011"
"Tomato___Spider_mites Two-spotted_spider_mite","0.8989899","0.9303136","0.8989899"
"Raspberry___healthy","0.977707","0.96238244","0.977707"
"Pepper,_bell___healthy","0.96231884","0.96231884","0.96231884"
"Squash___Powdery_mildew","0.966581","0.9842932","0.966581"
"Corn_(maize)___Northern_Leaf_Blight","0.9732685","0.99626863","0.9732685"
"Tomato___Septoria_leaf_spot","0.99756694","0.9927361","0.99756694"
