"Class","Accuracy","Precision","Recall"
"Tomato___Target_Spot","0.58653843","0.80263156","0.58653843"
"Tomato___Leaf_Mold","0.77272725","0.8686131","0.77272725"
"Strawberry___Leaf_scorch","0.9885714","0.9611111","0.9885714"
"Apple___Black_rot","0.9866667","0.8","0.9866667"
"Strawberry___healthy","0.8293839","0.9408602","0.8293839"
"Corn_(maize)___Common_rust_","0.9268293","0.90047395","0.9268293"
"Potato___Early_blight","0.9521739","0.9605263","0.9521739"
"Apple___healthy","0.69453377","0.84375","0.69453377"
"Potato___healthy","0.8783383","0.9548387","0.8783383"
"Tomato___Early_blight","0.74043715","0.86031747","0.74043715"
"Blueberry___healthy","0.8742138","0.9765808","0.8742138"
"Pepper,_bell___Bacterial_spot","0.9142857","0.8739496","0.9142857"
"Grape___Esca_(Black_Measles)","0.9411765","0.7804878","0.9411765"
"Peach___healthy","0.9088937","0.84136546","0.9088937"
"Cherry_(including_sour)___Powdery_mildew","0.96881497","0.932","0.96881497"
"Grape___Black_rot","0.84029484","0.684","0.84029484"
"Tomato___Bacterial_spot","0.7402799","0.952","0.7402799"
"Grape___Leaf_blight_(Isariopsis_Leaf_Spot)","0.96586347","0.9144487","0.96586347"
"Potato___Late_blight","0.94163424","0.8996283","0.94163424"
"Peach___Bacterial_spot","0.93650794","0.95848376","0.93650794"
"Orange___Haunglongbing_(Citrus_greening)","0.98474574","1.0","0.98474574"
"Tomato___Tomato_mosaic_virus","0.81471","0.9762712","0.81471"
"Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot","0.9833055","0.988255","0.9833055"
"Tomato___Tomato_Yellow_Leaf_Curl_Virus","0.9644513","0.9017341","0.9644513"
"Grape___healthy","0.8091133","0.9358974","0.8091133"
"Corn_(maize)___healthy","0.9231788","0.94316643","0.9231788"
"Apple___Cedar_apple_rust","0.94132656","0.98268974","0.94132656"
"Soybean___healthy","0.9907773","0.9447236","0.9907773"
"Tomato___Late_blight","0.9494681","0.8675577","0.9494681"
"Tomato___healthy","0.9667995","0.8687351","0.9667995"
"Cherry_(including_sour)___healthy","0.818","0.92325056","0.818"
"Apple___Apple_scab","0.9955207","0.9684096","0.9955207"
"Tomato___Spider_mites Two-spotted_spider_mite","0.91967404","0.82722515","0.91967404"
"Raspberry___healthy","0.99040514","0.8731203","0.99040514"
"Pepper,_bell___healthy","0.96269983","0.94342905","0.96269983"
"Squash___Powdery_mildew","0.97826946","0.972888","0.97826946"
"Corn_(maize)___Northern_Leaf_Blight","0.9860325","0.97499067","0.9860325"
"Tomato___Septoria_leaf_spot","0.9666081","0.99854755","0.9666081"
