"Class","Accuracy","Precision","Recall"
"Tomato___Target_Spot","0.4","0.13333334","0.4"
"Tomato___Leaf_Mold","0.7058824","0.44444445","0.7058824"
"Strawberry___Leaf_scorch","0.6744186","0.8055556","0.6744186"
"Apple___Black_rot","0.9677419","0.8108108","0.9677419"
"Strawberry___healthy","0.68","0.9189189","0.68"
"Corn_(maize)___Common_rust_","0.7209302","0.7380952","0.7209302"
"Potato___Early_blight","0.82","0.9111111","0.82"
"Apple___healthy","0.7254902","0.7254902","0.7254902"
"Potato___healthy","0.9285714","0.62903225","0.9285714"
"Tomato___Early_blight","0.81578946","0.4920635","0.81578946"
"Blueberry___healthy","0.84782606","0.91764706","0.84782606"
"Pepper,_bell___Bacterial_spot","0.7108434","0.6210526","0.7108434"
"Grape___Esca_(Black_Measles)","0.8453608","0.8367347","0.8453608"
"Peach___healthy","0.6320755","0.67676765","0.6320755"
"Cherry_(including_sour)___Powdery_mildew","0.81904763","0.86","0.81904763"
"Grape___Black_rot","0.57471263","0.5","0.57471263"
"Tomato___Bacterial_spot","0.6101695","0.72","0.6101695"
"Grape___Leaf_blight_(Isariopsis_Leaf_Spot)","0.8378378","0.8857143","0.8378378"
"Potato___Late_blight","0.9009009","0.9259259","0.9009009"
"Peach___Bacterial_spot","0.9423077","0.8828829","0.9423077"
"Orange___Haunglongbing_(Citrus_greening)","0.9206349","1.0","0.9206349"
"Tomato___Tomato_mosaic_virus","0.8727273","0.8135593","0.8727273"
"Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot","0.974359","0.9579832","0.974359"
"Tomato___Tomato_Yellow_Leaf_Curl_Virus","0.83116883","0.92086333","0.83116883"
"Grape___healthy","0.6791444","0.9007092","0.6791444"
"Corn_(maize)___healthy","0.94214875","0.7702703","0.94214875"
"Apple___Cedar_apple_rust","0.85119045","0.9470199","0.85119045"
"Soybean___healthy","0.9285714","0.9811321","0.9285714"
"Tomato___Late_blight","0.88235295","0.8181818","0.88235295"
"Tomato___healthy","0.8896552","0.76785713","0.8896552"
"Cherry_(including_sour)___healthy","0.6515151","0.7288136","0.6515151"
"Apple___Apple_scab","0.989011","0.9782609","0.989011"
"Tomato___Spider_mites Two-spotted_spider_mite","0.7411765","0.65968585","0.7411765"
"Raspberry___healthy","0.8910891","0.8450704","0.8910891"
"Pepper,_bell___healthy","0.86098653","0.8347826","0.86098653"
"Squash___Powdery_mildew","0.91926605","0.9842829","0.91926605"
"Corn_(maize)___Northern_Leaf_Blight","0.96603775","0.95522386","0.96603775"
"Tomato___Septoria_leaf_spot","0.98722625","0.98185116","0.98722625"
